Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
TRIM50	"FLJ32804, TRIM50A"	ENSG00000146755	"Tripartite motif containing 50"	Q86XT4	7	73312536-73328082	"Enzymes, Human disease related genes, Predicted intracellular proteins"	"Ubl conjugation pathway"	Transferase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	4	"pancreas: 28.3;parathyroid gland: 32.0;stomach 1: 47.4"	"Group enriched"	"Detected in some"	4	"Gastric mucus-secreting cells: 20.6;Granulosa cells: 27.8"	"Cell type enhanced"	"Detected in single"		"central nervous system macrophage: 1.5"	"Cancer enriched"	"Detected in some"	24	"Kidney Chromophobe (TCGA): 99.3"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	11	"Gastric cancer: 1.1;liver cancer: 1.7"	"Adrenal gland - Macrophages, Stomach - Parietal cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			"HPA019862, HPA047843"	Uncertain		Approved	Cytosol			NA	NA				"Cluster 15: Pancreas - Proteolysis"		"Cluster 18: Liver cancer - Metabolism"	"Cluster 46: Gastric mucus-secreting cells - Digestion"	45	Cytosol		"HPA019862: AB_1858305, HPA047843: AB_2680176"			"unprognostic (3.48e-1)"							"unprognostic (9.03e-2)"	"unprognostic (1.15e-1)"		"unprognostic (2.20e-3)"	"unprognostic (1.35e-1)"	"unprognostic (6.07e-2)"																
ABAT	"GABA-T, GABAT"	ENSG00000183044	"4-aminobutyrate aminotransferase"	P80404	16	8674596-8784575	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Neurotransmitter degradation"	"Aminotransferase, Transferase"	"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 127.6;kidney: 128.6;liver: 335.3;pancreas: 134.0"	"Cell type enhanced"	"Detected in many"		"Hepatocytes: 263.2;Horizontal cells: 67.4;Inhibitory neurons: 91.1;Oligodendrocyte precursor cells: 72.2;Proximal tubular cells: 76.0"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in all"		"Glioblastoma Multiforme (TCGA): 72.3"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Kidney - Proximal tubular cells, Liver - Hepatocytes, Pancreas - Exocrine glandular cells, Prostate - Prostate glandular cells, Testis - Sertoli cells, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA041528, HPA041690"	Enhanced	Supported	Supported	Mitochondria			No	No		1600000	"Cluster 21: Neutrophils - Unknown function"	"Cluster 69: Liver - Oxidoreductase activity"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 33: Sarcoma - Muscle contraction"	"Cluster 62: Hepatocytes - Metabolism"	6	Mitochondria		"HPA041528: AB_10795690, HPA041690: AB_10794674"	"unprognostic (5.64e-2)"	"unprognostic (1.30e-1)"	"unprognostic (2.27e-2)"	"unprognostic (1.36e-1)"	"unprognostic (9.98e-2)"	"unprognostic (9.66e-3)"	"unprognostic (3.63e-1)"	"unprognostic (7.83e-2)"	"unprognostic (4.16e-1)"	"unprognostic (3.69e-1)"	"unprognostic (5.29e-8)"	"unprognostic (4.54e-2)"	"unprognostic (6.39e-5)"	"unprognostic (5.09e-4)"	"unprognostic (5.41e-3)"	"unprognostic (2.42e-5)"	"unprognostic (3.70e-3)"	"unprognostic (1.96e-1)"	"unprognostic (5.73e-2)"	"unprognostic (2.26e-1)"	"unprognostic (1.05e-1)"	"unprognostic (2.74e-2)"	"unprognostic (5.29e-2)"	"unprognostic (2.01e-1)"	"unprognostic (5.38e-2)"	"unprognostic (2.68e-1)"	"unprognostic (4.55e-1)"	"unprognostic (6.24e-2)"	"unprognostic (7.31e-2)"	"unprognostic (2.69e-1)"	"unprognostic (4.33e-2)"
ACADL	"ACAD4, LCAD"	ENSG00000115361	"Acyl-CoA dehydrogenase long chain"	P28330	2	210187126-210225447	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"liver: 27.2;pancreas: 27.6"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 2: 50.7;Early spermatids: 94.9;Late spermatids: 75.7;Leydig cells: 49.6;Peritubular cells: 50.6;Prostatic glandular cells: 93.2"	"Cell type enriched"	"Detected in many"	4	"fibroblast: 149.5"	"Cancer enhanced"	"Detected in some"		"Kidney Chromophobe (TCGA): 15.1;Kidney Renal Clear Cell Carcinoma (TCGA): 14.2"	"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"prostate cancer: 2.8;Rhabdoid: 2.4;testis cancer: 2.2"	"Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Liver - Hepatocytes, Lung - Alveolar cells type 2, Prostate - Prostate glandular cells, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA011990	Enhanced	Supported					NA	NA				"Cluster 68: Non-specific - Protein processing"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 3: Rhabdoid - Membrane components"	"Cluster 40: Prostatic glandular cells - Transcription"	4			"HPA011990: AB_1844465"			"unprognostic (1.24e-2)"							"unprognostic (1.22e-1)"	"unprognostic (2.02e-9)"	"unprognostic (4.42e-4)"	"unprognostic (1.29e-2)"	"unprognostic (1.09e-3)"	"unprognostic (5.37e-7)"		"unprognostic (2.80e-1)"							"unprognostic (2.67e-1)"						"unprognostic (1.10e-1)"	
ACSM6	"bA310E22.3, C10orf129"	ENSG00000173124	"Acyl-CoA synthetase medium chain family member 6"	Q6P461	10	95194200-95228929	"Enzymes, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"lymphoid tissue: 3.1;pancreas: 3.1;skin 1: 1.6;stomach 1: 1.6"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 1.9;Cone photoreceptor cells: 1.7;Early spermatids: 2.6;Excitatory neurons: 3.7;Gastric mucus-secreting cells: 2.4;Inhibitory neurons: 3.2;Oligodendrocytes: 2.0;Rod photoreceptor cells: 4.7"	"Low cell type specificity"	"Detected in many"			"Cancer enriched"	"Detected in single"	6	"Bladder Urothelial Carcinoma (TCGA): 1.2"	"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Skin - Sebaceous gland cells, Testis - Early spermatids, Testis - Late spermatids"									HPA044593	Uncertain						NA	NA				"Cluster 15: Pancreas - Proteolysis"	"Cluster 33: Neurons - Mixed function"	"Cluster 7: Liver cancer - Metabolism"	"Cluster 66: Photoreceptor cells - Visual perception"				"HPA044593: AB_10960261"	"unprognostic (6.04e-1)"																														
ADGRF3	"GPR113, hGPCR37, PGR23"	ENSG00000173567	"Adhesion G protein-coupled receptor F3"	Q8IZF5	2	26308173-26346817	"G-protein coupled receptors, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Tissue enhanced"	"Detected in single"		"pancreas: 1.0"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 10.8;Early spermatids: 6.1;Late spermatids: 29.8;Microglial cells: 5.4;Oligodendrocytes: 5.9"	"Low cell type specificity"	"Detected in all"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in some"			"Kidney - Ascending Loop of Henle cells, Testis - Late spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA044500	Uncertain		Approved	"Golgi apparatus,Cytosol"			NA	NA				"Cluster 48: Stomach - Proteolysis"	"Cluster 55: Non-specific - Transcription"	"Cluster 6: Leukemia - Signal transduction"	"Cluster 11: Late spermatids - Unknown function"		"Golgi apparatus"	Cytosol	"HPA044500: AB_10794290"																															
ADM2	"AM2, FLJ21135"	ENSG00000128165	"Adrenomedullin 2"	Q7Z4H4	22	50481543-50486440	"Predicted secreted proteins"		Hormone		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"kidney: 8.1;pancreas: 15.0;thyroid gland: 11.2"	"Cell type enhanced"	"Detected in some"		"Exocrine glandular cells: 12.4;Intestinal goblet cells: 7.4;Plasma cells: 9.1;Proximal enterocytes: 5.8;Proximal tubular cells: 25.0"	"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in all"		"Myeloma: 22.0"	"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Minor Salivary Gland - Minor salivary glandular cells, Prostate - Prostate glandular cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"								"Secreted to blood"	Hormone	NA	NA	61300			"Cluster 68: Non-specific - Protein processing"	"Cluster 15: Non-specific - Transcription"	"Cluster 13: Non-specific - Mixed function"	"Cluster 38: Proximal tubular cells - Transmembrane transport"					"unprognostic (2.01e-1)"	"unprognostic (1.27e-2)"	"unprognostic (1.08e-1)"	"unprognostic (2.06e-1)"	"unprognostic (4.38e-2)"	"unprognostic (4.74e-2)"			"unprognostic (3.60e-1)"	"unprognostic (2.71e-1)"	"unprognostic (2.73e-4)"	"unprognostic (5.48e-2)"	"unprognostic (5.09e-3)"	"unprognostic (1.69e-2)"	"unprognostic (2.34e-1)"	"unprognostic (1.90e-2)"	"unprognostic (1.79e-1)"	"unprognostic (2.26e-1)"	"unprognostic (3.69e-2)"	"unprognostic (2.63e-1)"	"unprognostic (1.93e-1)"	"unprognostic (5.83e-2)"	"unprognostic (2.69e-1)"	"unprognostic (5.70e-2)"	"unprognostic (1.81e-1)"	"unprognostic (3.66e-3)"	"unprognostic (2.70e-1)"	"unprognostic (2.14e-2)"	"unprognostic (9.51e-2)"	"unprognostic (1.49e-4)"	"unprognostic (2.95e-1)"
AKR7A3		ENSG00000162482	"Aldo-keto reductase family 7 member A3"	O95154	1	19282573-19288770	"Metabolic proteins, Predicted intracellular proteins"		Oxidoreductase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 241.7;liver: 150.8;pancreas: 280.1;stomach 1: 218.3"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 198.9;Gastric mucus-secreting cells: 346.7;Proximal enterocytes: 1214.3;Proximal tubular cells: 627.0"	"Cell type enhanced"	"Detected in many"		"choroid plexus epithelial cell: 10.2"	"Cancer enhanced"	"Detected in many"		"Liver Hepatocellular Carcinoma (TCGA): 78.5"	"Region enriched"	"Detected in all"	5	"choroid plexus: 35.4"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"breast cancer: 16.8;colorectal cancer: 19.5;Gastric cancer: 18.9"	"Kidney - Proximal tubular cells, Liver - Hepatocytes"									HPA064638			Supported	"Golgi apparatus,Cytosol"			NA	NA		1700000		"Cluster 48: Stomach - Proteolysis"	"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 2: Mucus-secreting cells - Unknown function"	"Cluster 22: Proximal enterocytes - Digestion"	9	Cytosol	"Golgi apparatus"	"HPA064638: AB_2685307"	"unprognostic (2.68e-2)"	"unprognostic (2.77e-1)"	"unprognostic (2.03e-1)"	"unprognostic (2.49e-3)"	"unprognostic (1.27e-1)"	"unprognostic (6.48e-2)"	"unprognostic (1.14e-2)"		"unprognostic (1.37e-1)"	"unprognostic (4.66e-2)"	"unprognostic (7.54e-7)"	"unprognostic (7.95e-3)"	"unprognostic (2.06e-6)"	"unprognostic (1.60e-3)"	"unprognostic (1.96e-3)"	"unprognostic (4.03e-2)"	"unprognostic (1.15e-2)"	"unprognostic (4.78e-2)"		"unprognostic (6.72e-2)"	"unprognostic (2.66e-2)"	"unprognostic (1.41e-1)"	"unprognostic (3.26e-3)"	"unprognostic (8.53e-2)"	"unprognostic (1.28e-1)"	"unprognostic (4.10e-2)"	"unprognostic (1.19e-1)"	"unprognostic (9.92e-2)"	"unprognostic (3.73e-2)"		"unprognostic (2.18e-1)"
ANKEF1	"ANKRD5, dJ839B4.6, FLJ21669"	ENSG00000132623	"Ankyrin repeat and EF-hand domain containing 1"	Q9NU02	20	9986126-10058303	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"pancreas: 13.6;testis: 14.2"	"Group enriched"	"Detected in many"	27	"Early spermatids: 226.4;Late spermatids: 430.4"	"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA041151	Approved		Approved	"Nucleoli fibrillar center,Plasma membrane,Cytosol"			NA	NA			"Cluster 1: T-cells - Unknown function"	"Cluster 46: Testis - Spermatogenesis"	"Cluster 16: Non-specific - Transcription"	"Cluster 62: Non-specific - Plasma proteins"	"Cluster 11: Late spermatids - Unknown function"	10	"Nucleoli fibrillar center, Plasma membrane, Cytosol"		"HPA041151: AB_10796569"	"unprognostic (2.06e-1)"	"unprognostic (8.43e-3)"		"unprognostic (3.17e-2)"	"unprognostic (3.57e-2)"	"unprognostic (4.14e-1)"			"unprognostic (1.87e-1)"	"unprognostic (1.04e-1)"	"unprognostic (2.30e-4)"	"unprognostic (2.00e-1)"	"unprognostic (4.38e-1)"	"unprognostic (1.02e-2)"		"unprognostic (3.17e-4)"	"unprognostic (1.97e-1)"	"unprognostic (9.42e-2)"	"unprognostic (1.55e-1)"	"unprognostic (2.04e-1)"	"unprognostic (2.50e-1)"	"unprognostic (1.46e-1)"	"unprognostic (3.79e-2)"	"unprognostic (1.07e-1)"	"unprognostic (4.29e-2)"	"unprognostic (4.97e-1)"		"unprognostic (2.36e-2)"	"unprognostic (9.99e-2)"	"unprognostic (2.31e-4)"	"unprognostic (3.73e-1)"
ANXA4	ANX4	ENSG00000196975	"Annexin A4"	P09525	2	69644425-69827112	"Cancer-related genes, FDA approved drug targets, Predicted intracellular proteins"			"Cancer-related genes, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"gallbladder: 551.0;pancreas: 345.6"	"Cell type enhanced"	"Detected in all"		"Cholangiocytes: 2319.9;Ductal cells: 1498.9;Proximal enterocytes: 674.0"	"Cell type enhanced"	"Detected in all"		"choroid plexus epithelial cell: 396.1"	"Low cancer specificity"	"Detected in all"			"Region enriched"	"Detected in all"	8	"choroid plexus: 85.6"	"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose visceral - Adipose progenitor cells, Adrenal gland - Adrenal cortex cells, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB005076, HPA007393, CAB017560"	Enhanced		Approved	Cytosol			NA	NA		1300000	"Cluster 42: Non-specific - Vesicular transport"	"Cluster 45: Intestine - Digestion"	"Cluster 36: Choroid plexus - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 37: Glandular & Luminal cells - Unknown function"	9	Cytosol		"CAB005076: AB_630869, CAB017560: AB_2227370, HPA007393: AB_1078168"	"unprognostic (1.93e-1)"	"unprognostic (5.44e-3)"	"unprognostic (1.31e-1)"	"unprognostic (3.43e-2)"	"unprognostic (2.11e-1)"	"unprognostic (8.26e-2)"	"unprognostic (3.34e-4)"	"unprognostic (1.60e-3)"	"unprognostic (3.07e-1)"	"unprognostic (2.19e-1)"	"unprognostic (8.17e-6)"	"unprognostic (6.10e-2)"	"unprognostic (8.66e-3)"	"unprognostic (1.63e-1)"	"unprognostic (1.52e-1)"	"unprognostic (2.15e-1)"	"unprognostic (2.17e-2)"	"unprognostic (4.52e-1)"	"unprognostic (9.16e-2)"	"unprognostic (1.70e-3)"	"unprognostic (2.55e-2)"	"unprognostic (2.09e-3)"	"unprognostic (8.16e-2)"	"unprognostic (1.78e-1)"	"unprognostic (8.63e-2)"	"unprognostic (5.66e-2)"	"unprognostic (1.91e-1)"	"unprognostic (9.77e-2)"	"unprognostic (9.47e-2)"	"unprognostic (6.50e-2)"	"unprognostic (4.00e-2)"
ARHGEF38	FLJ20184	ENSG00000236699	"Rho guanine nucleotide exchange factor 38"	Q9NXL2	4	105552620-105708093	"Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"breast: 7.6;pancreas: 6.3"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 2: 27.0;Breast glandular cells: 16.6;Ionocytes: 14.0;Prostatic glandular cells: 44.6;Serous glandular cells: 14.6"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in many"		"Prostate Adenocarcinoma (TCGA): 11.0"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"breast cancer: 3.9;prostate cancer: 4.3"	"Colon - Colon enterocytes, Liver - Cholangiocyte, Lung - Alveolar cells type 2, Skin - Eccrine sweat gland cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"HPA036510, HPA045484"	Uncertain		Approved	Nucleoplasm,Centrosome			NA	NA				"Cluster 48: Stomach - Proteolysis"		"Cluster 27: Breast cancer - Unknown function"	"Cluster 40: Prostatic glandular cells - Transcription"		Nucleoplasm	Centrosome	"HPA036510: AB_10672357, HPA045484: AB_2679345"		"unprognostic (2.63e-1)"	"unprognostic (9.22e-2)"		"unprognostic (1.39e-1)"	"unprognostic (1.11e-1)"				"unprognostic (1.46e-1)"			"unprognostic (2.20e-3)"			"unprognostic (5.56e-3)"	"unprognostic (6.39e-2)"		"unprognostic (3.08e-1)"			"unprognostic (2.45e-1)"	"unprognostic (6.14e-2)"	"unprognostic (4.80e-3)"	"unprognostic (5.44e-2)"	"unprognostic (2.88e-1)"		"unprognostic (1.51e-3)"		"unprognostic (3.82e-3)"	"unprognostic (1.79e-1)"
ARSL	"ARSE, CDPX, CDPX1"	ENSG00000157399	"Arylsulfatase L"	P51690	X	2934045-2968475	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"		Hydrolase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"kidney: 35.3;liver: 88.3;pancreas: 101.8"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 29.6;Ductal cells: 29.7;Enteroendocrine cells: 41.0;Hepatocytes: 64.9;Paneth cells: 46.8;Proximal enterocytes: 47.7;Proximal tubular cells: 77.6;Undifferentiated cells: 56.9"	"Cell type enhanced"	"Detected in many"		"fibroblast: 22.2"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Kidney cancer: 30.8;liver cancer: 33.4"	"Kidney - Proximal tubular cells"					"Low region specificity"	"Detected in all"			"HPA060518, HPA070651"	Approved		Supported	"Golgi apparatus"			NA	NA				"Cluster 68: Non-specific - Protein processing"	"Cluster 44: Non-specific - Mixed function"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 16: Intestinal goblet cells - Mucin production"		"Golgi apparatus"		"HPA060518: AB_2684301, HPA070651: AB_2732160"	"unprognostic (3.76e-2)"	"unprognostic (2.39e-1)"		"unprognostic (1.02e-1)"	"unprognostic (6.10e-3)"	"unprognostic (2.08e-2)"	"unprognostic (7.47e-3)"	"unprognostic (1.57e-5)"	"unprognostic (1.04e-1)"	"unprognostic (1.81e-1)"	"unprognostic (1.84e-4)"	"unprognostic (6.80e-2)"	"unprognostic (1.57e-1)"	"unprognostic (4.12e-1)"		"unprognostic (4.84e-2)"	"unprognostic (9.06e-2)"	"unprognostic (1.68e-2)"	"unprognostic (1.34e-1)"	"unprognostic (1.74e-1)"		"unprognostic (2.88e-1)"	"unprognostic (2.72e-4)"		"unprognostic (6.25e-2)"	"unprognostic (7.24e-2)"	"unprognostic (2.06e-2)"	"unprognostic (8.59e-2)"	"unprognostic (1.08e-1)"		"unprognostic (6.29e-2)"
ASCL5	"AmeloD, ASH-5, bHLHa47"	ENSG00000232237	"Achaete-scute family bHLH transcription factor 5"		1	201113943-201127184	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Tissue enhanced"	"Detected in single"		"pancreas: 1.8"	"Not detected"	"Not detected"			"Low cell type specificity"	"Detected in some"			"Low cancer specificity"	"Detected in single"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"breast cancer: 2.7;Rhabdoid: 2.2"		"Group enriched"	"Detected in some"	5	"amygdala: 2.8;cerebral cortex: 2.1;hippocampal formation: 1.6"	"Not detected"	"Not detected"										NA	NA				"Cluster 68: Non-specific - Protein processing"	"Cluster 14: Neurons - Synaptic function"	"Cluster 70: DU4475 - Unknown function"	"Cluster 12: Squamous epithelial cells - Keratinization"									"unprognostic (1.93e-1)"																										
